Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-07T02:15:00Z,1,111.0310571,120.0155
2026-08-07T02:30:00Z,1,110.80964,120.1478
2026-08-07T02:45:00Z,1,110.345,120.17768
2026-08-07T03:00:00Z,1,110.5088,120.3926
2026-08-07T03:15:00Z,1,110.23268,120.43292
2026-08-07T03:30:00Z,1,108.37244,117.89
2026-08-07T03:45:00Z,1,106.1214286,115.1612857
2026-08-07T04:00:00Z,1,105.365,115.55756
2026-08-07T04:15:00Z,1,106.59464,116.87012
2026-08-07T04:30:00Z,1,107.3266571,117.5726429
2026-08-07T04:45:00Z,1,107.69,117.25256
2026-08-07T05:00:00Z,1,107.135,116.57024
2026-08-07T05:15:00Z,1,105.5267857,114.8963
2026-08-07T05:30:00Z,1,104.75816,115.00256
2026-08-07T05:45:00Z,1,104.61476,115.09268
2026-08-07T06:00:00Z,1,105.3581,116.2383286
2026-08-07T06:15:00Z,1,106.625,117.17012
2026-08-07T06:30:00Z,1,107.45744,118.175
2026-08-07T06:45:00Z,1,108.0579714,118.9139
2026-08-07T07:00:00Z,1,108.25988,119.12756
2026-08-07T07:15:00Z,1,108.5972,119.18036
2026-08-07T07:30:00Z,1,108.2507,118.3193857
2026-08-07T07:45:00Z,1,108.10208,118.95524
2026-08-07T08:00:00Z,1,108.37244,119.31524
2026-08-07T08:15:00Z,1,108.0741714,119.5572714
2026-08-07T08:30:00Z,1,107.44232,119.10512
2026-08-07T08:45:00Z,1,107.26244,118.75292
2026-08-07T09:00:00Z,1,107.2549143,118.6088
2026-08-07T09:15:00Z,1,107.90012,119.09
2026-08-07T09:30:00Z,1,108.08732,119.52512
2026-08-07T09:45:00Z,1,108.4277429,119.75
2026-08-07T10:00:00Z,1,108.86012,119.89952
2026-08-07T10:15:00Z,1,108.66476,119.85488
2026-08-07T10:30:00Z,1,108.33536,119.47976
2026-08-07T10:45:00Z,1,108.4839286,119.6384
2026-08-07T11:00:00Z,1,108.64184,119.76488
2026-08-07T11:15:00Z,1,108.52232,119.84672
2026-08-07T11:30:00Z,1,108.4521714,119.8616
2026-08-07T11:45:00Z,1,108.40328,119.87672
2026-08-07T12:00:00Z,1,108.2306,119.8394
2026-08-07T12:15:00Z,1,107.8736,119.4685571
2026-08-07T12:30:00Z,1,107.80232,119.27768
2026-08-07T12:45:00Z,1,108.62756,119.73476
2026-08-07T13:00:00Z,1,108.8294,120.2879429
2026-08-07T13:15:00Z,1,108.34268,119.64536
